DESCRIPTION,RATING,REVIEWS COUNT,LINK,6/2/2021,7/2/2021,8/2/2021,9/2/2021,10/2/2021,11/2/2021,12/2/2021,13/2/2021,14/2/2021,15/2/2021,16/2/2021,17/2/2021,18/2/2021,19/2/2021,20/2/2021,21/2/2021,22/2/2021,23/2/2021,24/2/2021,25/2/2021,26/2/2021,2021-03-01
Samsung Galaxy M31 Prime Edition ),4.2 out of 5 stars,"132,202",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A066826523L6L4UWOF2H6&url=%2FSamsung-Galaxy-Prime-Space-Storage%2Fdp%2FB085J1D8BH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-1-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,"16,499.00","15,999.00",unavailable,unavailable,unavailable,"15,999.00","15,999.00","16,499.00","16,499.00","16,499.00",unavailable,unavailable,"15,999.00",unavailable,"15,999.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","15,999.00","16,499.00"
),4.4 out of 5 stars,"31,218",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A001905017M56YG5OE548&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1J32G%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-2-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,"22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00","22,999.00"
),4.2 out of 5 stars,"89,542",https://www.amazon.in/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_3?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-3,"13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","13,999.00"
),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_4?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-4,"16,499.00",unavailable,unavailable,unavailable,"16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00","16,499.00"
),3.9 out of 5 stars,"10,058",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_5?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-5,"7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,775.00","7,499.00","7,499.00"
),3.4 out of 5 stars,"9,255",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_6?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-6,"5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00","5,999.00"
Samsung Galaxy M31 Prime Edition ),4.2 out of 5 stars,"132,202",https://www.amazon.in/Samsung-Galaxy-Prime-Space-Storage/dp/B085J1D8BH/ref=sr_1_7?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-7,"16,499.00","15,999.00",unavailable,unavailable,unavailable,"15,999.00","15,999.00","16,499.00","16,499.00","16,499.00",unavailable,unavailable,"15,999.00",unavailable,"15,999.00","15,999.00","16,499.00","16,499.00","15,999.00","16,499.00","15,999.00","16,499.00"
),3.9 out of 5 stars,"10,057",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_8?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-8,"7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,499.00","7,999.00","8,499.00","7,499.00",unavailable,"7,499.00","7,499.00","7,499.00","7,499.00","7,715.00","7,950.00"
),4.2 out of 5 stars,"89,542",https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8D2R/ref=sr_1_9?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-9,"13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","13,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","12,999.00","13,999.00"
),4.3 out of 5 stars,"42,370",https://www.amazon.in/Samsung-Galaxy-Mirage-128GB-Storage/dp/B07DJCJBB3/ref=sr_1_10?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-10,"19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","19,499.00","18,499.00","18,499.00"
