DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09
"Samsung M31s (Mirage Blue,8 GB RAM, 128 GB)",4.2,136,https://rukminim1.flixcart.com/image/416/416/kdt50nk0/screen-guard/screen-guard/h/h/e/marshland-trt46-original-imafumwfbkwhsg9y.jpeg?q=70,https://www.flipkart.com/samsung-m31s-mirage-blue-128-gb/p/itm3c444f9c5c566?pid=MOBFUZYBUZWNKB6G&lid=LSTMOBFUZYBUZWNKB6GR9CIE2&marketplace=FLIPKART&srno=s_5_99&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFUZYBUZWNKB6G.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,22280,22850,22850,22850,22848,22850,22850,22999,22999,22999,22999,22999,22649,22649,22470,22199,22470,22470,22470,22470,22198,22198,22198,unavailable,unavailable,22990,22980,22980,22785,22990,22198,22198
"Samsung Galaxy M21 (Raven Black,6 GB RAM, 128 GB)",4.2,1235,https://rukminim1.flixcart.com/image/416/416/kah413k0/mobile/d/m/z/samsung-galaxy-m21-b07hgh8d2r-original-imafsfexgymaayrk.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m21-raven-black-128-gb/p/itm36be49613446e?pid=MOBFSF86ZVPMUZD3&lid=LSTMOBFSF86ZVPMUZD3I3A0L0&marketplace=FLIPKART&srno=s_5_100&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFSF86ZVPMUZD3.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,16690,15990,15990,15990,16990,16900,16900,16490,16470,16490,16470,16470,16489,15990,15990,15990,16489,16489,16489,16489,16390,16390,16489,unavailable,unavailable,17945,17945,16489,17945,17945,17950,17950
"Samsung Galaxy S21 Plus (Phantom Black,8 GB RAM, 256 GB)",4.6,29,https://rukminim1.flixcart.com/image/416/416/kjvrdzk0/mobile/h/j/e/samsung-galaxy-s21-plus-sm-g996bzkdinu-original-imafzcmeg75kgehm.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s21-plus-phantom-black-256-gb/p/itm1e8ce2b1729cf?pid=MOBFZ3TMAZGVZF5D&lid=LSTMOBFZ3TMAZGVZF5DQJFNGL&marketplace=FLIPKART&srno=s_5_101&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFZ3TMAZGVZF5D.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999,85999
"Samsung Galaxy A50 (Blue,4 GB RAM, 64 GB)",4.3,67429,https://rukminim1.flixcart.com/image/416/416/jsyyufk0/mobile/e/t/q/samsung-galaxy-a50-sm-a505fzbgins-original-imafefghgjpvhxkq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a50-blue-64-gb/p/itmfe4csw5hucdnn?pid=MOBFE4CSF3G2TTUV&lid=LSTMOBFE4CSF3G2TTUV1HA5LO&marketplace=FLIPKART&srno=s_5_102&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFE4CSF3G2TTUV.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,15499,15499,15499,15499,15499,15499,15499,unavailable,unavailable,unavailable,15499,15499,15499,unavailable,unavailable,15499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,15499,15499,15499,unavailable,unavailable,unavailable,15499,unavailable,unavailable
"Samsung Galaxy A20s (Blue,3 GB RAM, 32 GB)",4.3,1083,https://rukminim1.flixcart.com/image/416/416/k2jbyq80pkrrdj/mobile-refurbished/p/3/a/galaxy-a20s-32-a-sm-a207fzbdins-samsung-3-original-imafkx2dygmrbhah.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a20s-blue-32-gb/p/itmf6f28dfda35a8?pid=MOBFKKGRNXCA4FTW&lid=LSTMOBFKKGRNXCA4FTW0MSRM1&marketplace=FLIPKART&srno=s_5_103&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFKKGRNXCA4FTW.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,unavailable,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900,12900
"Samsung Galaxy M11 (Metallic Blue,4 GB RAM, 64 GB)",4.2,6143,https://rukminim1.flixcart.com/image/416/416/kavefm80/mobile/w/u/z/samsung-galaxy-m11-sm-m115fmbeins-original-imafscgycugcewty.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m11-metallic-blue-64-gb/p/itm1a7c4dfe52d9c?pid=MOBFRZZHZGSRRWUZ&lid=LSTMOBFRZZHZGSRRWUZ4HLZCC&marketplace=FLIPKART&srno=s_5_104&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFRZZHZGSRRWUZ.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,12999,12992,13189,13189,13144,13199,13199,13649,13645,13688,13599,13599,12990,13182,13172,13172,11954,11954,11798,11648,11524,11524,11649,11649,11649,11649,11649,11649,11486,11486,11486,11486
"Samsung Galaxy S20 FE (Cloud Navy,8 GB RAM, 128 GB)",4.2,222,https://rukminim1.flixcart.com/image/416/416/kg15ocw0/mobile/g/g/g/samsung-galaxy-s20-fe-sm-g780fzbnins-original-imafwd2j4ggevjwq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s20-fe-cloud-navy-128-gb/p/itm90f8fb032ae3c?pid=MOBFWAVTQNMETGGG&lid=LSTMOBFWAVTQNMETGGGIJYV5O&marketplace=FLIPKART&srno=s_5_105&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFWAVTQNMETGGG.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,49999,49999,40999,44999,44999,11486,44999,44999,44999
"Samsung Galaxy S21 Plus (Phantom Silver,8 GB RAM, 128 GB)",4.6,29,https://rukminim1.flixcart.com/image/416/416/kjvrdzk0/mobile/t/f/y/samsung-galaxy-s21-plus-sm-g996bzsginu-original-imafzchsbg324bka.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s21-plus-phantom-silver-128-gb/p/itme73a877a223a7?pid=MOBFZ3TMYAWQAJDP&lid=LSTMOBFZ3TMYAWQAJDP0NFLEA&marketplace=FLIPKART&srno=s_5_106&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFZ3TMYAWQAJDP.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999,81999
"Samsung Galaxy M11 (Black,4 GB RAM, 64 GB)",4.2,6143,https://rukminim1.flixcart.com/image/416/416/kavefm80/mobile/6/y/t/samsung-galaxy-m11-sm-m115fzkeins-original-imafscjyhxwghgwf.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m11-black-64-gb/p/itm2b3e5356a5b97?pid=MOBFRZZH4HHGU6YT&lid=LSTMOBFRZZH4HHGU6YTK4RBHG&marketplace=FLIPKART&srno=s_5_107&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFRZZH4HHGU6YT.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,13985,13495,13488,13488,13680,13680,13680,13225,13225,13090,13089,13089,13090,12990,12949,12949,12480,12480,11835,11675,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11045,11045
"Samsung Galaxy S20 FE (Cloud Lavender,8 GB RAM, 128 GB)",4.2,222,https://rukminim1.flixcart.com/image/416/416/kg15ocw0/mobile/j/n/e/samsung-galaxy-s20-fe-sm-g780flvnins-original-imafwd2jr9hyc77a.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s20-fe-cloud-lavender-128-gb/p/itm963c7deda5fe1?pid=MOBFWAVTM5YD3JNE&lid=LSTMOBFWAVTM5YD3JNERH5YQZ&marketplace=FLIPKART&srno=s_5_108&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFWAVTM5YD3JNE.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,12990,40999,40999,40999,40999,40999,40999,40999,40999,40999,49999,49999,40999,44999,44999,44999,44999,44999,44999
"Samsung Galaxy S10 Lite (Prism White,8 GB RAM, 512 GB)",4.5,12500,https://rukminim1.flixcart.com/image/416/416/k5o7r0w0/mobile/g/p/g/samsung-galaxy-s10-lite-sm-g770fzwsinu-original-imafzaqng4nzmfra.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s10-lite-prism-white-512-gb/p/itm13f6d0d4e0b60?pid=MOBFPDVHRHKHDNZE&lid=LSTMOBFPDVHRHKHDNZENCICPB&marketplace=FLIPKART&srno=s_5_109&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFPDVHRHKHDNZE.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,41999,41999,41999,41999,40999,40999,40999,40999,40999,40879,40879,40879,39999,39999,39999,39999,39979,39979,39979,39979,39979,39979,39979,39979,39979,39979,39979,39929,39929,39929,39899,39899
"Samsung Galaxy M31s (Mirage Blue,6 GB RAM, 128 GB)",4.2,757,https://rukminim1.flixcart.com/image/416/416/ke8uv0w0/mobile/e/7/r/samsung-galaxy-m31s-sm-m317fzbdins-original-imafuywznfyhzy9t.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m31s-mirage-blue-128-gb/p/itmad022b9abd4b6?pid=MOBFUYMQUW5EKE7R&lid=LSTMOBFUYMQUW5EKE7RSOBWGD&marketplace=FLIPKART&srno=s_5_111&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFUYMQUW5EKE7R.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,21990,20999,20999,20999,20499,20999,20999,21540,20995,21995,21995,21995,20499,21295,20450,21599,20980,20980,20990,20800,21599,21599,21599,21599,21599,21465,21399,21399,21399,21275,20790,20790
"Samsung Galaxy M11 (Black,3 GB RAM, 32 GB)",4.2,9777,https://rukminim1.flixcart.com/image/416/416/kavefm80/mobile/6/y/t/samsung-galaxy-m11-sm-m115fzkeins-original-imafscjyhxwghgwf.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m11-black-32-gb/p/itm0871b45a83143?pid=MOBFRZZHRFVXDUZZ&lid=LSTMOBFRZZHRFVXDUZZXAFM9I&marketplace=FLIPKART&srno=s_5_112&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFRZZHRFVXDUZZ.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,11899,10699,10699,10699,10799,10990,10990,11999,10990,10990,10890,10890,11390,11349,11290,10990,10890,10890,10789,10755,10745,10745,10739,10745,10745,10735,10679,10679,10449,10659,10499,10499
"Samsung Galaxy M11 (Metallic Blue,3 GB RAM, 32 GB)",4.2,9777,https://rukminim1.flixcart.com/image/416/416/kavefm80/mobile/w/u/z/samsung-galaxy-m11-sm-m115fmbeins-original-imafscgycugcewty.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m11-metallic-blue-32-gb/p/itme875f568bb05b?pid=MOBFRZZHHUZTTYCZ&lid=LSTMOBFRZZHHUZTTYCZGZVDV8&marketplace=FLIPKART&srno=s_5_113&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFRZZHHUZTTYCZ.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,11845,11599,11595,11595,10635,11599,11599,10499,10635,12999,10989,10989,11599,10798,10499,10798,10798,10798,10990,10990,10990,10990,10899,10850,10850,10699,10698,10640,10798,10589,10589,10589
"Samsung Galaxy A10s (Black,2 GB RAM, 32 GB)",4.4,2548,https://rukminim1.flixcart.com/image/416/416/k2jbyq80pkrrdj/mobile-refurbished/d/u/c/galaxy-a10s-32-gb-c-sm-a107fzkdins-samsung-2-original-imafjycfagsvuzrw.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a10s-black-32-gb/p/itmcbb3ea1c1d722?pid=MOBFJPAQ53GGFVZD&lid=LSTMOBFJPAQ53GGFVZDHE4VVI&marketplace=FLIPKART&srno=s_5_114&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFJPAQ53GGFVZD.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,9171,9171,9171,9171,9171,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy S10 Lite (Prism Black,8 GB RAM, 128 GB)",4.5,12500,https://rukminim1.flixcart.com/image/416/416/k5o7r0w0/mobile/h/s/v/samsung-galaxy-s10-lite-sm-g770fzksinu-original-imafzaqnbjuffrvv.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s10-lite-prism-black-128-gb/p/itm284b16d93b2f1?pid=MOBFZ8HTN4F7HHSV&lid=LSTMOBFZ8HTN4F7HHSVBUHMR2&marketplace=FLIPKART&srno=s_5_115&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFZ8HTN4F7HHSV.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,40999,36499,36499,36499,36499,36499,36499,36499,36499,36499,36499,36499,36499,36499,36999,36999,36999,36999,unavailable,unavailable,36999,36999,unavailable,unavailable,unavailable,36999,36999,unavailable,36999,36999,unavailable,unavailable
"Samsung Galaxy M30S (Quartz Green,4 GB RAM, 128 GB)",4.3,4044,https://rukminim1.flixcart.com/image/416/416/kiyw9e80-0/mobile/c/d/x/galaxy-m30s-sm-m307fzghins-samsung-original-imafymzngsrzz4ud.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m30s-quartz-green-128-gb/p/itm6ba047b92df51?pid=MOBFYZAHMWSYDE9H&lid=LSTMOBFYZAHMWSYDE9H3ZQ4ZV&marketplace=FLIPKART&srno=s_5_116&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFYZAHMWSYDE9H.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,17490,17490,17490,17490,17490,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,17490,unavailable,17490,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy M30S (Black,4 GB RAM, 128 GB)",4.3,4044,https://rukminim1.flixcart.com/image/416/416/kb1470w0/mobile/n/h/6/samsung-galaxy-m30s-sm-m307fzkdinsfg-original-imafsh7b3zcjtk2e.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m30s-black-128-gb/p/itm91339c429de64?pid=MOBFSHFB6MXGJNH6&lid=LSTMOBFSHFB6MXGJNH6EDHYRG&marketplace=FLIPKART&srno=s_5_117&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFSHFB6MXGJNH6.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,17500,17500,17500,17500,17500,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy M30S (Blue,4 GB RAM, 128 GB)",4.3,4044,https://rukminim1.flixcart.com/image/416/416/kb1470w0/mobile/s/x/f/samsung-galaxy-m30s-sm-m307fzkdinss-original-imafsh7heuaqttfy.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m30s-blue-128-gb/p/itm79f7239a3b086?pid=MOBFSHFBFGNWPSXF&lid=LSTMOBFSHFBFGNWPSXFZCTNB6&marketplace=FLIPKART&srno=s_5_118&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFSHFBFGNWPSXF.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,16990,17990,17990,17990,16999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,17990,17990,17990,unavailable,unavailable,unavailable,unavailable,17990,17990,17495,unavailable,unavailable,unavailable,17999,17999,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy Note 20 (Mystic Bronze,8 GB RAM, 256 GB)",4.4,63,https://rukminim1.flixcart.com/image/416/416/kdhphu80/mobile/y/c/y/samsung-note-20-canvas-sm-n980fzngins-original-imafudkrgzqqg8m4.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-note-20-mystic-bronze-256-gb/p/itm00f9f3258025f?pid=MOBFU5WYMX5Y8YCY&lid=LSTMOBFU5WYMX5Y8YCYK1M7UA&marketplace=FLIPKART&srno=s_5_119&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFU5WYMX5Y8YCY.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,77999,77999,77999,77999,77999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy J2 Core (Black,1 GB RAM, 16 GB)",4.2,10675,https://rukminim1.flixcart.com/image/416/416/jm0wscw0/mobile-refurbished/s/e/8/galaxy-j2-core-8-z-sm-j260gzkdins-samsung-1-original-imaf9f33s65wbgdn.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-j2-core-black-16-gb/p/itm47a82ab8b28e5?pid=MOBFQ29NXHVM9DVN&lid=LSTMOBFQ29NXHVM9DVNHMVA0M&marketplace=FLIPKART&srno=s_5_120&otracker=search&fm=organic&iid=53f2d1a2-1a2e-44e6-937c-6c79908ba704.MOBFQ29NXHVM9DVN.SEARCH&ssid=wozeoozby80000001612574324715&qH=9a56a29d6da35374,6790,6790,6790,6790,6790,unavailable,unavailable,unavailable,unavailable,unavailable,6590,6590,unavailable,6590,unavailable,6790,6790,6790,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Samsung Galaxy S20 FE (Cloud White,8 GB RAM, 128 GB)",4.2,222,https://rukminim1.flixcart.com/image/416/416/kg15ocw0/mobile/d/h/w/samsung-galaxy-s20-fe-sm-g780fzwnins-original-imafwd2jqsanwb7g.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s20-fe-cloud-white-128-gb/p/itm43c3c96db2180?pid=MOBFWAVTMGYNUDHW&lid=LSTMOBFWAVTMGYNUDHW6E1W6T&marketplace=FLIPKART&srno=s_6_121&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFWAVTMGYNUDHW.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,40999,49999,49999,40999,44999,unavailable,44999,44999,44999,44999
"Samsung Galaxy M21 (Iceberg Blue,6 GB RAM, 128 GB)",4.2,1235,https://rukminim1.flixcart.com/image/416/416/kgv5x8w0/mobile/v/t/y/samsung-galaxy-m21-sm-m215flbdins-original-imafxykjnbc2wghg.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m21-iceberg-blue-128-gb/p/itm5828e7a06bcc9?pid=MOBFY25VRHBTF7YF&lid=LSTMOBFY25VRHBTF7YFXDF4UX&marketplace=FLIPKART&srno=s_6_122&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFY25VRHBTF7YF.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,15990,15990,15990,15990,15990,unavailable,unavailable,unavailable,15990,15990,15990,15990,15990,15990,15990,15990,15990,15990,15990,15990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,15990,unavailable,unavailable,unavailable,16999,16999
"Samsung Galaxy S21 (Phantom White,8 GB RAM, 128 GB)",4.4,62,https://rukminim1.flixcart.com/image/416/416/kjvrdzk0/mobile/h/r/k/samsung-galaxy-s21-sm-g991bzwginu-original-imafzcm74fahgwzs.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s21-phantom-white-128-gb/p/itmb8973ad1951e4?pid=MOBFZ3TMZFGUFBYX&lid=LSTMOBFZ3TMZFGUFBYXVXQYC3&marketplace=FLIPKART&srno=s_6_124&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFZ3TMZFGUFBYX.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999,69999
"Samsung Galaxy Fold 2 (Mystic Bronze,12 GB RAM, 256 GB)",3.7,3,https://rukminim1.flixcart.com/image/416/416/kjrh2fk0/mobile/n/c/d/samsung-galaxy-fold-2-sm-f916bznainu-original-imafz9hgamqbzaeq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-fold-2-mystic-bronze-256-gb/p/itm671a54e07349e?pid=MOBFYZ673HRWNNCD&lid=LSTMOBFYZ673HRWNNCDL1SJVT&marketplace=FLIPKART&srno=s_6_125&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFYZ673HRWNNCD.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,"1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999","1,49,999"
"Samsung Galaxy Note 20 Ultra 5G (Mystic Black,12 GB RAM, 256 GB)",4.5,185,https://rukminim1.flixcart.com/image/416/416/kdhphu80/mobile/z/6/j/samsung-note-20-canvas-sm-n986bzkgins-original-imafudkhukrhaqgm.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-note-20-ultra-5g-mystic-black-256-gb/p/itme2a64f28d2ae6?pid=MOBFU5WYPMCGAZ6J&lid=LSTMOBFU5WYPMCGAZ6JTZLDGQ&marketplace=FLIPKART&srno=s_6_126&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFU5WYPMCGAZ6J.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,"1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999","1,04,999"
"Samsung Galaxy A70s (Prism Crush White,8 GB RAM, 128 GB)",4.4,1020,https://rukminim1.flixcart.com/image/416/416/kgjqefk0/mobile/j/s/5/samsung-galaxy-a70s-sm-a707fzwwins-original-imafwrdhsyfzh6yg.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a70s-prism-crush-white-128-gb/p/itm57a85273f03b6?pid=MOBFKKGRJCHHRJS5&lid=LSTMOBFKKGRJCHHRJS5Z6YUTR&marketplace=FLIPKART&srno=s_6_127&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFKKGRJCHHRJS5.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,"1,04,999",25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999,25999
"Samsung Galaxy S10 Lite (Prism Blue,8 GB RAM, 512 GB)",4.5,12500,https://rukminim1.flixcart.com/image/416/416/k5o7r0w0/mobile/d/z/f/samsung-galaxy-s10-lite-sm-g770fzbsinu-original-imafzaqnw6bpqwag.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s10-lite-prism-blue-512-gb/p/itmbd1470b934615?pid=MOBFPDVHAJMVXUYZ&lid=LSTMOBFPDVHAJMVXUYZZ0W1VA&marketplace=FLIPKART&srno=s_6_128&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFPDVHAJMVXUYZ.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,41989,41989,41989,41989,41485,40897,40897,40897,40897,40897,40897,40897,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39965,39965,39965,39965,39945,39945,39945,39945,40990,40990
"Samsung Galaxy A50 (Blue,6 GB RAM, 64 GB)",4.4,11268,https://rukminim1.flixcart.com/image/416/416/jsyyufk0/mobile/e/t/q/samsung-galaxy-a50-sm-a505fzbgins-original-imafefghgjpvhxkq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a50-blue-64-gb/p/itmfe4cssxfzcph3?pid=MOBFE4CSRHGF4ETQ&lid=LSTMOBFE4CSRHGF4ETQLWRIXD&marketplace=FLIPKART&srno=s_6_131&otracker=search&fm=organic&iid=67695f9b-b79e-4c76-9982-1c864e470389.MOBFE4CSRHGF4ETQ.SEARCH&ssid=xzg1glhr0g0000001612574327883&qH=9a56a29d6da35374,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
