DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30
"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB)",4.4 out of 5 stars,108469,https://images-na.ssl-images-amazon.com/images/I/51da%2B8RxEWL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Pro-Electric-Processor/dp/B07X4R4F47/ref=sr_1_51?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-51,16990,unavailable,15999,15999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,17980,17980,unavailable,unavailable,17999,17999,17990,17890,17390,17590,17590,17990,17990,17990,17990,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,16485,16485,16485,17690,unavailable,unavailable,unavailable,unavailable,unavailable,17990,unavailable,unavailable,unavailable,unavailable,unavailable,17990,16098,16098,16098,19998,18990,15999,15999,19998
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB)",4.3 out of 5 stars,52929,https://images-na.ssl-images-amazon.com/images/I/716tvc8pVEL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Green-128GB-Storage/dp/B08696ZMPF/ref=sr_1_52?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-52,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,10999,10999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,unavailable,12999,12999,12999,12999,12999
"Redmi 9 Power (Mighty Black, 4GB RAM, 128GB)",4.2 out of 5 stars,24078,https://images-na.ssl-images-amazon.com/images/I/71hEzQGO5qL._SX679_.jpg,https://www.amazon.in/Test-Exclusive_2020_1118-Multi-3GB-Storage/dp/B089MTT7TX/ref=sr_1_53?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-53,11999,11999,11999,11999,11999,11999,11999,11999,11999,unavailable,unavailable,unavailable,10999,unavailable,10999,unavailable,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,10499,10499,10499,10499,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999
"Redmi 6 (Black, 3GB RAM, 64GB)",4.1 out of 5 stars,12317,https://images-na.ssl-images-amazon.com/images/I/31PQEqCFJAL.jpg,https://www.amazon.in/Redmi-Black-3GB-64GB-Storage/dp/B07R9RSB2T/ref=sr_1_54?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-54,9490,unavailable,unavailable,unavailable,9490,8499,8499,8499,unavailable,8890,8890,8890,unavailable,8500,unavailable,unavailable,unavailable,unavailable,8299,8299,unavailable,8890,8890,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,8299,8299,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,7999,7999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,7999,8599,8599,unavailable,unavailable,8599,8599,unavailable,unavailable,unavailable,8599,8599,8599,8599,9999,9999,9999,9999,8599,8599,9999
"Redmi 9 Power (Electric Green, 4GB RAM, 128GB)",4.2 out of 5 stars,24078,https://images-na.ssl-images-amazon.com/images/I/71hEzQGO5qL._SX679_.jpg,https://www.amazon.in/Test-Exclusive_2020_1116-Multi-3GB-Storage/dp/B089MVCS5G/ref=sr_1_57?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-57,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,unavailable,unavailable,10999,11999,10999,unavailable,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999
"Redmi Note 9 (Scarlet Red, 6GB RAM 128GB)",4.3 out of 5 stars,52929,https://images-na.ssl-images-amazon.com/images/I/716tvc8pVEL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Scarlet-128GB-Storage/dp/B08696LQL2/ref=sr_1_58?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-58,11999,unavailable,12999,12999,11999,11999,11999,11999,11999,11999,11999,11999,unavailable,11499,11499,11499,10999,10999,10999,10999,10999,unavailable,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,13999,10999,10999,10999,10999,10999,10999,unavailable,unavailable,12999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999
"Redmi Note 9 Pro Max (Champagne Gold, 6GB RAM, 64GB)",4.2 out of 5 stars,57643,https://images-na.ssl-images-amazon.com/images/I/71XpBd7i1SL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Pro-Max-64GB/dp/B086985WZY/ref=sr_1_65?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-65,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,unavailable,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999
"Mi Redmi 6A (Black, 2GB RAM, 16GB)",4.2 out of 5 stars,76636,https://images-na.ssl-images-amazon.com/images/I/718oiyc2qlL._SY879_.jpg,https://www.amazon.in/Redmi-6A-Black-2GBRAM-Storage/dp/B077PW9V3J/ref=sr_1_67?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Redmi+Mobiles&qid=1612346947&sr=8-67,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi 9 Prime (Mint Green, 4GB RAM, 128GB)",4.3 out of 5 stars,35249,https://images-na.ssl-images-amazon.com/images/I/71TwXw2LQRL._SX679_.jpg,https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B086984LJ4/ref=sr_1_68?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-68,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999
"Redmi Note 4 (Grey, 4GB RAM, 64GB)",4.2 out of 5 stars,4777,https://images-na.ssl-images-amazon.com/images/I/81SVaytdKUL._SY879_.jpg,https://www.amazon.in/Redmi-Note-Grey-64GB-Storage/dp/B078BN2H39/ref=sr_1_70?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-70,11010,11010,11010,11010,12990,12990,12990,15999,15999,15999,13000,13000,11599,13999,15999,11290,15999,15999,15999,15999,15999,15999,15999,11599,11599,11599,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,12999,12999,12999,12999,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,10499,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi 6 Pro (Blue, 4GB RAM, 64GB)",4.1 out of 5 stars,63134,https://images-na.ssl-images-amazon.com/images/I/81SgDtCe2zL._SY879_.jpg,https://www.amazon.in/Redmi-Pro-Blue-64GB-Storage/dp/B07DJHR5DY/ref=sr_1_72?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-72,12148,12148,12148,12148,12148,12148,12148,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,11399,11399,11399,11200,11200,11399,11399,11399,11399,11399,11399,11399,11399,unavailable,unavailable,unavailable,unavailable,11399,11399,11399,11399,11399,11399,11399,11399,11399,11399,11399,11399,11399,11399,11399,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,11399,11399,11399,11399,11399,11399,11399,11399,11399
"Redmi Y2 (Gold, 3GB RAM, 32GB)",4.3 out of 5 stars,3154,https://images-na.ssl-images-amazon.com/images/I/81MWLaSqduL._SY879_.jpg,https://www.amazon.in/Redmi-Y2-Gold-32GB-Storage/dp/B077PWB22Y/ref=sr_1_74?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-74,10499,10499,10499,10499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi 6 (Black, 3GB RAM, 32GB)",4.1 out of 5 stars,12317,https://images-na.ssl-images-amazon.com/images/I/31PQEqCFJAL.jpg,https://www.amazon.in/Mi-Redmi-Black-32GB-Storage/dp/B07K16XLG7/ref=sr_1_99?dchild=1&keywords=Redmi+Mobiles&qid=1612346953&sr=8-99,9490,unavailable,unavailable,unavailable,8499,8499,8499,8499,unavailable,8890,8890,8890,unavailable,8500,unavailable,unavailable,unavailable,unavailable,8299,8299,unavailable,8890,8890,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,8299,8299,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,7999,7999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,7999,8599,8599,unavailable,unavailable,8599,8599,unavailable,unavailable,unavailable,8599,8599,8599,8599,9999,9999,9999,9999,8599,8599,9999
